region,中国,156
region,中国,北京,110000
region,中国,天津,120000
region,中国,河北,130000
region,中国,河北,石家庄,130100
region,中国,河北,唐山,130200
region,中国,河北,秦皇岛,130300
region,中国,河北,邯郸,130400
region,中国,河北,邢台,130500
region,中国,河北,保定,130600
region,中国,河北,张家口,130700
region,中国,河北,承德,130800
region,中国,河北,沧州,130900
region,中国,河北,廊坊,131000
region,中国,河北,衡水,131100
region,中国,河北,三河,131082
region,中国,河北,任丘,130982
region,中国,河北,鹿泉,130110
region,中国,山西,140000
region,中国,山西,太原,140100
region,中国,山西,大同,140200
region,中国,山西,阳泉,140300
region,中国,山西,长治,140400
region,中国,山西,晋城,140500
region,中国,山西,朔州,140600
region,中国,山西,晋中,140700
region,中国,山西,介休,140781
region,中国,山西,运城,140800
region,中国,山西,忻州,140900
region,中国,山西,临汾,141000
region,中国,山西,吕梁,141100
region,中国,山西,汾阳,141182
region,中国,内蒙古,150000
region,中国,内蒙古,呼和浩特,150100
region,中国,内蒙古,包头,150200
region,中国,内蒙古,乌海,150300
region,中国,内蒙古,赤峰,150400
region,中国,内蒙古,通辽,150500
region,中国,内蒙古,鄂尔多斯,150600
region,中国,内蒙古,呼伦贝尔,150700
region,中国,内蒙古,巴彦淖尔,150800
region,中国,内蒙古,乌兰察布,150900
region,中国,内蒙古,兴安盟,152200
region,中国,内蒙古,锡林郭勒盟,152500
region,中国,内蒙古,阿拉善盟,152900
region,中国,辽宁,210000
region,中国,辽宁,沈阳,210100
region,中国,辽宁,大连,210200
region,中国,辽宁,鞍山,210300
region,中国,辽宁,抚顺,210400
region,中国,辽宁,本溪,210500
region,中国,辽宁,丹东,210600
region,中国,辽宁,锦州,210700
region,中国,辽宁,营口,210800
region,中国,辽宁,阜新,210900
region,中国,辽宁,辽阳,211000
region,中国,辽宁,盘锦,211100
region,中国,辽宁,铁岭,211200
region,中国,辽宁,朝阳,211300
region,中国,辽宁,葫芦岛,211400
region,中国,吉林,220000
region,中国,吉林,长春,220100
region,中国,吉林,吉林市,220200
region,中国,吉林,四平,220300
region,中国,吉林,辽源,220400
region,中国,吉林,通化,220500
region,中国,吉林,白山,220600
region,中国,吉林,松原,220700
region,中国,吉林,白城,220800
region,中国,吉林,延边朝鲜族自治州,222400
region,中国,吉林,延吉,222401
region,中国,黑龙江,230000
region,中国,黑龙江,哈尔滨,230100
region,中国,黑龙江,双城,230182
region,中国,黑龙江,齐齐哈尔,230200
region,中国,黑龙江,鸡西,230300
region,中国,黑龙江,鹤岗,230400
region,中国,黑龙江,双鸭山,230500
region,中国,黑龙江,大庆,230600
region,中国,黑龙江,伊春,230700
region,中国,黑龙江,佳木斯,230800
region,中国,黑龙江,七台河,230900
region,中国,黑龙江,牡丹江,231000
region,中国,黑龙江,黑河,231100
region,中国,黑龙江,绥化,231200
region,中国,黑龙江,大兴安岭地区,232700
region,中国,上海,310000
region,中国,江苏,320000
region,中国,江苏,南京,320100
region,中国,江苏,无锡,320200
region,中国,江苏,徐州,320300
region,中国,江苏,常州,320400
region,中国,江苏,苏州,320500
region,中国,江苏,常熟,320581
region,中国,江苏,张家港,320582
region,中国,江苏,昆山,320583
region,中国,江苏,太仓,320585
region,中国,江苏,南通,320600
region,中国,江苏,连云港,320700
region,中国,江苏,淮安,320800
region,中国,江苏,涟水,320826
region,中国,江苏,盐城,320900
region,中国,江苏,扬州,321000
region,中国,江苏,镇江,321100
region,中国,江苏,丹阳,321181
region,中国,江苏,句容,321183
region,中国,江苏,泰州,321200
region,中国,江苏,宿迁,321300
region,中国,浙江,330000
region,中国,浙江,杭州,330100
region,中国,浙江,萧山,330109
region,中国,浙江,富阳,330183
region,中国,浙江,临安,330185
region,中国,浙江,宁波,330200
region,中国,浙江,余姚,330281
region,中国,浙江,温州,330300
region,中国,浙江,瑞安,330381
region,中国,浙江,乐清,330382
region,中国,浙江,嘉兴,330400
region,中国,浙江,海宁,330481
region,中国,浙江,湖州,330500
region,中国,浙江,绍兴,330600
region,中国,浙江,金华,330700
region,中国,浙江,义乌,330782
region,中国,浙江,东阳,330783
region,中国,浙江,衢州,330800
region,中国,浙江,舟山,330900
region,中国,浙江,台州,331000
region,中国,浙江,丽水,331100
region,中国,安徽,340000
region,中国,安徽,合肥,340100
region,中国,安徽,巢湖,340181
region,中国,安徽,芜湖,340200
region,中国,安徽,蚌埠,340300
region,中国,安徽,淮南,340400
region,中国,安徽,马鞍山,340500
region,中国,安徽,淮北,340600
region,中国,安徽,铜陵,340700
region,中国,安徽,安庆,340800
region,中国,安徽,黄山,341000
region,中国,安徽,滁州,341100
region,中国,安徽,阜阳,341200
region,中国,安徽,宿州,341300
region,中国,安徽,六安,341500
region,中国,安徽,亳州,341600
region,中国,安徽,池州,341700
region,中国,安徽,宣城,341800
region,中国,福建,350000
region,中国,福建,福州,350100
region,中国,福建,厦门,350200
region,中国,福建,莆田,350300
region,中国,福建,三明,350400
region,中国,福建,永安,350481
region,中国,福建,泉州,350500
region,中国,福建,漳州,350600
region,中国,福建,南平,350700
region,中国,福建,龙岩,350800
region,中国,福建,宁德,350900
region,中国,江西,360000
region,中国,江西,南昌,360100
region,中国,江西,景德镇,360200
region,中国,江西,萍乡,360300
region,中国,江西,九江,360400
region,中国,江西,新余,360500
region,中国,江西,鹰潭,360600
region,中国,江西,赣州,360700
region,中国,江西,吉安,360800
region,中国,江西,宜春,360900
region,中国,江西,抚州,361000
region,中国,江西,上饶,361100
region,中国,山东,370000
region,中国,山东,济南,370100
region,中国,山东,章丘,370181
region,中国,山东,青岛,370200
region,中国,山东,胶州,370281
region,中国,山东,淄博,370300
region,中国,山东,枣庄,370400
region,中国,山东,东营,370500
region,中国,山东,烟台,370600
region,中国,山东,莱阳,370682
region,中国,山东,潍坊,370700
region,中国,山东,青州,370781
region,中国,山东,诸城,370782
region,中国,山东,济宁,370800
region,中国,山东,曲阜,370881
region,中国,山东,泰安,370900
region,中国,山东,泰山,370902
region,中国,山东,威海,371000
region,中国,山东,日照,371100
region,中国,山东,莱芜,371200
region,中国,山东,临沂,371300
region,中国,山东,德州,371400
region,中国,山东,聊城,371500
region,中国,山东,滨州,371600
region,中国,山东,菏泽,371700
region,中国,河南,410000
region,中国,河南,郑州,410100
region,中国,河南,登封,410185
region,中国,河南,开封,410200
region,中国,河南,洛阳,410300
region,中国,河南,平顶山,410400
region,中国,河南,安阳,410500
region,中国,河南,鹤壁,410600
region,中国,河南,新乡,410700
region,中国,河南,焦作,410800
region,中国,河南,濮阳,410900
region,中国,河南,许昌,411000
region,中国,河南,漯河,411100
region,中国,河南,三门峡,411200
region,中国,河南,南阳,411300
region,中国,河南,商丘,411400
region,中国,河南,永城,411481
region,中国,河南,信阳,411500
region,中国,河南,周口,411600
region,中国,河南,驻马店,411700
region,中国,河南,济源,419001
region,中国,湖北,420000
region,中国,湖北,武汉,420100
region,中国,湖北,黄石,420200
region,中国,湖北,十堰,420300
region,中国,湖北,宜昌,420500
region,中国,湖北,襄阳,420600
region,中国,湖北,鄂州,420700
region,中国,湖北,荆门,420800
region,中国,湖北,孝感,420900
region,中国,湖北,荆州,421000
region,中国,湖北,黄冈,421100
region,中国,湖北,咸宁,421200
region,中国,湖北,随州,421300
region,中国,湖北,恩施,422800
region,中国,湖北,恩施土家族苗族自治州,422800
region,中国,湖北,仙桃,429004
region,中国,湖北,潜江,429005
region,中国,湖北,天门,429006
region,中国,湖北,神农架,429021
region,中国,湖北,神农架林区,429021
region,中国,湖南,430000
region,中国,湖南,长沙,430100
region,中国,湖南,株洲,430200
region,中国,湖南,湘潭,430300
region,中国,湖南,衡阳,430400
region,中国,湖南,耒阳,430481
region,中国,湖南,邵阳,430500
region,中国,湖南,岳阳,430600
region,中国,湖南,常德,430700
region,中国,湖南,张家界,430800
region,中国,湖南,益阳,430900
region,中国,湖南,郴州,431000
region,中国,湖南,永州,431100
