region,中国,156
region,中国,北京,4
region,中国,天津,8
region,中国,河北,18
region,中国,河北,石家庄,130100
region,中国,河北,唐山,130200
region,中国,河北,秦皇岛,130300
region,中国,河北,邯郸,130400
region,中国,河北,邢台,130500
region,中国,河北,保定,130600
region,中国,河北,张家口,130700
region,中国,河北,承德,130800
region,中国,河北,沧州,130900
region,中国,河北,廊坊,131000
region,中国,河北,衡水,131100
region,中国,河北,三河,247
region,中国,河北,任丘,130982
region,中国,河北,鹿泉,130110
region,中国,山西,12
region,中国,山西,太原,150
region,中国,山西,大同,149
region,中国,山西,阳泉,158
region,中国,山西,长治,157
region,中国,山西,晋城,153
region,中国,山西,朔州,154
region,中国,山西,晋中,152
region,中国,山西,介休,147
region,中国,山西,运城,156
region,中国,山西,忻州,151
region,中国,山西,临汾,146
region,中国,山西,吕梁,148
region,中国,山西,汾阳,155
region,中国,内蒙古,3
region,中国,内蒙古,呼和浩特,58
region,中国,内蒙古,包头,56
region,中国,内蒙古,乌海,54
region,中国,内蒙古,赤峰,60
region,中国,内蒙古,通辽,61
region,中国,内蒙古,鄂尔多斯,62
region,中国,内蒙古,呼伦贝尔,57
region,中国,内蒙古,巴彦淖尔,59
region,中国,内蒙古,乌兰察布,53
region,中国,内蒙古,兴安盟,55
region,中国,内蒙古,锡林郭勒盟,63
region,中国,内蒙古,阿拉善盟,64
region,中国,辽宁,29
region,中国,辽宁,沈阳,389
region,中国,辽宁,大连,385
region,中国,辽宁,鞍山,397
region,中国,辽宁,抚顺,386
region,中国,辽宁,本溪,388
region,中国,辽宁,丹东,384
region,中国,辽宁,锦州,395
region,中国,辽宁,营口,391
region,中国,辽宁,阜新,396
region,中国,辽宁,辽阳,393
region,中国,辽宁,盘锦,390
region,中国,辽宁,铁岭,394
region,中国,辽宁,朝阳,387
region,中国,辽宁,葫芦岛,392
region,中国,吉林,6
region,中国,吉林,长春,74
region,中国,吉林,吉林市,65
region,中国,吉林,四平,66
region,中国,吉林,辽源,72
region,中国,吉林,通化,73
region,中国,吉林,白山,71
region,中国,吉林,松原,69
region,中国,吉林,白城,70
region,中国,吉林,延边朝鲜族自治州,68
region,中国,吉林,延吉,67
region,中国,黑龙江,34
region,中国,黑龙江,哈尔滨,421
region,中国,黑龙江,双城,419
region,中国,黑龙江,齐齐哈尔,429
region,中国,黑龙江,鸡西,426
region,中国,黑龙江,鹤岗,427
region,中国,黑龙江,双鸭山,420
region,中国,黑龙江,大庆,423
region,中国,黑龙江,伊春,417
region,中国,黑龙江,佳木斯,418
region,中国,黑龙江,七台河,416
region,中国,黑龙江,牡丹江,424
region,中国,黑龙江,黑河,428
region,中国,黑龙江,绥化,425
region,中国,黑龙江,大兴安岭地区,422
region,中国,上海,1
region,中国,江苏,16
region,中国,江苏,南京,217
region,中国,江苏,无锡,227
region,中国,江苏,徐州,225
region,中国,江苏,常州,222
region,中国,江苏,苏州,233
region,中国,江苏,常熟,223
region,中国,江苏,张家港,224
region,中国,江苏,昆山,228
region,中国,江苏,太仓,220
region,中国,江苏,南通,218
region,中国,江苏,连云港,234
region,中国,江苏,淮安,231
region,中国,江苏,涟水,230
region,中国,江苏,盐城,232
region,中国,江苏,扬州,226
region,中国,江苏,镇江,235
region,中国,江苏,丹阳,235
region,中国,江苏,句容,219
region,中国,江苏,泰州,229
region,中国,江苏,宿迁,221
region,中国,浙江,20
region,中国,浙江,杭州,291
region,中国,浙江,萧山,298
region,中国,浙江,富阳,290
region,中国,浙江,临安,282
region,中国,浙江,宁波,289
region,中国,浙江,余姚,286
region,中国,浙江,温州,293
region,中国,浙江,瑞安,295
region,中国,浙江,乐清,285
region,中国,浙江,嘉兴,288
region,中国,浙江,海宁,292
region,中国,浙江,湖州,294
region,中国,浙江,绍兴,296
region,中国,浙江,金华,300
region,中国,浙江,义乌,284
region,中国,浙江,东阳,281
region,中国,浙江,衢州,299
region,中国,浙江,舟山,297
region,中国,浙江,台州,287
region,中国,浙江,丽水,283
region,中国,安徽,10
region,中国,安徽,合肥,108
region,中国,安徽,巢湖,112
region,中国,安徽,芜湖,117
region,中国,安徽,蚌埠,118
region,中国,安徽,淮南,115
region,中国,安徽,马鞍山,121
region,中国,安徽,淮北,114
region,中国,安徽,铜陵,119
region,中国,安徽,安庆,109
region,中国,安徽,黄山,122
region,中国,安徽,滁州,116
region,中国,安徽,阜阳,120
region,中国,安徽,宿州,111
region,中国,安徽,六安,107
region,中国,安徽,亳州,106
region,中国,安徽,池州,113
region,中国,安徽,宣城,110
region,中国,福建,26
region,中国,福建,福州,362
region,中国,福建,厦门,357
region,中国,福建,莆田,363
region,中国,福建,三明,355
region,中国,福建,永安,359
region,中国,福建,泉州,360
region,中国,福建,漳州,361
region,中国,福建,南平,356
region,中国,福建,龙岩,364
region,中国,福建,宁德,358
region,中国,江西,17
region,中国,江西,南昌,238
region,中国,江西,景德镇,243
region,中国,江西,萍乡,244
region,中国,江西,九江,237
region,中国,江西,新余,242
region,中国,江西,鹰潭,246
region,中国,江西,赣州,245
region,中国,江西,吉安,239
region,中国,江西,宜春,240
region,中国,江西,抚州,241
region,中国,江西,上饶,236
region,中国,山东,11
region,中国,山东,济南,132
region,中国,山东,章丘,138
region,中国,山东,青岛,145
region,中国,山东,胶州,140
region,中国,山东,淄博,134
region,中国,山东,枣庄,129
region,中国,山东,东营,123
region,中国,山东,烟台,137
region,中国,山东,莱阳,142
region,中国,山东,潍坊,136
region,中国,山东,青州,136
region,中国,山东,诸城,144
region,中国,山东,济宁,133
region,中国,山东,曲阜,128
region,中国,山东,泰安,130
region,中国,山东,泰山,131
region,中国,山东,威海,125
region,中国,山东,日照,127
region,中国,山东,莱芜,141
region,中国,山东,临沂,124
region,中国,山东,德州,126
region,中国,山东,聊城,139
region,中国,山东,滨州,135
region,中国,山东,菏泽,143
region,中国,河南,19
region,中国,河南,郑州,278
region,中国,河南,登封,276
region,中国,河南,开封,268
region,中国,河南,洛阳,271
region,中国,河南,平顶山,267
region,中国,河南,安阳,266
region,中国,河南,鹤壁,280
region,中国,河南,新乡,269
region,中国,河南,焦作,275
region,中国,河南,濮阳,274
region,中国,河南,许昌,277
region,中国,河南,漯河,273
region,中国,河南,三门峡,261
region,中国,河南,南阳,263
region,中国,河南,商丘,265
region,中国,河南,永城,270
region,中国,河南,信阳,262
region,中国,河南,周口,264
region,中国,河南,驻马店,279
region,中国,河南,济源,272
region,中国,湖北,22
region,中国,湖北,武汉,313
region,中国,湖北,黄石,322
region,中国,湖北,十堰,308
region,中国,湖北,宜昌,311
region,中国,湖北,襄阳,318
region,中国,湖北,鄂州,319
region,中国,湖北,荆门,317
region,中国,湖北,孝感,310
region,中国,湖北,荆州,316
region,中国,湖北,黄冈,321
region,中国,湖北,咸宁,309
region,中国,湖北,随州,320
region,中国,湖北,恩施,312
region,中国,湖北,恩施土家族苗族自治州,312
region,中国,湖北,仙桃,307
region,中国,湖北,潜江,314
region,中国,湖北,天门,460
region,中国,湖北,神农架,315
region,中国,湖北,神农架林区,315
region,中国,湖南,23
region,中国,湖南,长沙,338
region,中国,湖南,株洲,329
region,中国,湖南,湘潭,331
region,中国,湖南,衡阳,335
region,中国,湖南,耒阳,334
region,中国,湖南,邵阳,336
region,中国,湖南,岳阳,325
region,中国,湖南,常德,326
region,中国,湖南,张家界,327
region,中国,湖南,益阳,333
region,中国,湖南,郴州,337
region,中国,湖南,永州,330
region,中国,湖南,怀化,328
region,中国,湖南,娄底,324
region,中国,湖南,湘西土家族苗族自治州,332
region,中国,湖南,吉首,323
region,中国,广东,13
region,中国,广东,广州,164
region,中国,广东,韶关,182
region,中国,广东,深圳,174
region,中国,广东,珠海,178
region,中国,广东,汕头,170
region,中国,广东,佛山,162
region,中国,广东,南海,163
region,中国,广东,顺德,183
region,中国,广东,江门,172
region,中国,广东,湛江,176
region,中国,广东,茂名,180
